日志文件创建的时间  2017/9/21 19:21:40
2017/9/21 19:21:40--世界的起点
2017/9/21 19:21:40--19:21:36.808-1: Init lua state cost: 0.1220522
2017/9/21 19:21:40--19:21:38.809-86: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.825-87: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.842-88: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.859-89: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.875-90: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.892-91: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.908-92: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.925-93: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.941-94: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.958-95: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.974-96: Lua stack top is 1
2017/9/21 19:21:40--19:21:38.991-97: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.8-98: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.24-99: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.41-100: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.57-101: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.74-102: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.90-103: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.107-104: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.124-105: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.140-106: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.157-107: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.173-108: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.190-109: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.206-110: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.223-111: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.240-112: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.256-113: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.273-114: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.289-115: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.306-116: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.323-117: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.339-118: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.356-119: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.372-120: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.389-121: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.405-122: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.422-123: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.438-124: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.455-125: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.471-126: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.488-127: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.505-128: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.521-129: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.538-130: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.554-131: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.571-132: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.587-133: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.604-134: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.621-135: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.637-136: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.654-137: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.670-138: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.687-139: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.703-140: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.720-141: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.736-142: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.753-143: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.770-144: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.786-145: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.803-146: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.819-147: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.836-148: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.852-149: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.869-150: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.886-151: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.902-152: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.923-153: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.937-154: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.954-155: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.971-156: Lua stack top is 1
2017/9/21 19:21:40--19:21:39.987-157: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.4-158: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.20-159: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.39-160: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.53-161: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.70-162: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.87-163: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.103-164: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.120-165: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.136-166: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.153-167: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.169-168: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.186-169: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.203-170: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.219-171: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.236-172: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.252-173: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.269-174: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.285-175: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.302-176: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.318-177: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.335-178: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.352-179: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.368-180: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.385-181: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.402-182: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.418-183: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.434-184: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.451-185: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.468-186: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.484-187: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.501-188: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.517-189: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.534-190: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.550-191: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.567-192: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.583-193: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.600-194: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.617-195: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.633-196: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.650-197: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.667-198: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.683-199: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.699-200: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.716-201: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.734-202: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.749-203: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.766-204: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.782-205: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.799-206: Lua stack top is 1
2017/9/21 19:21:40--19:21:40.816-207: Lua stack top is 1
